iter	RMSE
0	0.5484140581
1	0.5272110365
2	0.507018432
3	0.4878330731
4	0.4692776767
5	0.4530260118
6	0.4362201483
7	0.4201811183
8	0.4063302094
9	0.3922169124
10	0.3783455916
11	0.3653677107
12	0.3536853898
13	0.3410115019
14	0.3291829854
15	0.3178696365
16	0.3072994324
17	0.297439914
18	0.2878744797
19	0.2785120628
20	0.269471463
21	0.2610018761
22	0.2531806311
23	0.245242474
24	0.2380599569
25	0.2305555399
26	0.2239569147
27	0.2172316649
28	0.2102341775
29	0.2041487155
30	0.1978237211
31	0.1917422207
32	0.1863578849
33	0.1812533619
34	0.176398044
35	0.1715383755
36	0.1670475412
37	0.1625427235
38	0.15826488
39	0.1541076287
40	0.1501934305
41	0.1460325696
42	0.1424322725
43	0.1387567285
44	0.1353463672
45	0.1320218832
46	0.1288588729
47	0.1257534322
48	0.1228614987
49	0.1199976387
50	0.1169931835
51	0.114440437
52	0.1117602325
53	0.1091701713
54	0.1068344306
55	0.1044680196
56	0.1021337442
57	0.09992664054
58	0.09789676678
59	0.09590609341
60	0.09399170769
61	0.09199455965
62	0.09018545125
63	0.08851188256
64	0.08684122634
65	0.08505767905
66	0.08347856211
67	0.0819770313
68	0.08054722954
69	0.07904025069
70	0.0776089021
71	0.07622274838
72	0.07495255967
73	0.07370786089
74	0.07242242464
75	0.07125235462
76	0.07011093132
77	0.06903461737
78	0.06798540472
79	0.06696633417
80	0.06596737524
81	0.06501232612
82	0.06407162563
83	0.06316242793
84	0.06233706475
85	0.06154105464
86	0.06076983834
87	0.05995224703
88	0.0592201742
89	0.0584622771
90	0.05772255136
91	0.05706521834
92	0.05638679715
93	0.05574729541
94	0.0551532302
95	0.05456157718
96	0.05397806122
97	0.05344089651
98	0.05293657137
99	0.05240038028
100	0.05187239022
101	0.05137657228
102	0.05089771356
103	0.05045035301
104	0.05002863784
105	0.04963262403
106	0.0492556325
107	0.04891903706
108	0.04839985969
109	0.04800985555
110	0.04766865393
111	0.04730086266
112	0.04698030112
113	0.04653362201
114	0.04621076875
115	0.04587078423
116	0.04558622423
117	0.04531393724
118	0.04506020797
119	0.04474956738
120	0.04436080785
121	0.04408613432
122	0.0438544581
123	0.04359898527
