iter	Passed	Remaining
0	126	101470
1	431	172088
2	545	144975
3	612	121972
4	712	113355
5	780	103298
6	896	101557
7	968	95849
8	1029	90506
9	1147	90614
10	1211	86902
11	1282	84186
12	1426	86335
13	1528	85800
14	1679	87901
15	1842	90270
16	2022	93156
17	2090	90815
18	2158	88707
19	2262	88220
20	2519	93449
21	2703	95613
22	2871	96991
23	3069	99245
24	3216	99719
25	3384	100756
26	3631	103959
27	3808	104995
28	3918	104179
29	4035	103585
30	4135	102576
31	4266	102390
32	4390	102053
33	4502	101449
34	4745	103726
35	4881	103588
36	5056	104266
37	5186	104009
38	5461	106578
39	5668	107706
40	5833	107983
41	5981	107944
42	6156	108374
43	6240	107222
44	6336	106313
45	6400	104917
46	6494	104043
47	6570	102942
48	6623	101513
49	6682	100238
50	6741	99006
51	6804	97874
52	6862	96724
53	6924	95663
54	7005	94894
55	7086	94145
56	7170	93465
57	7228	92468
58	7277	91402
59	7334	90458
60	7389	89516
61	7468	88898
62	7538	88182
63	7605	87458
64	7671	86749
65	7731	85987
66	7778	85104
67	7842	84420
68	7898	83678
69	7949	82902
70	8008	82225
71	8098	81887
72	8188	81545
73	8248	80922
74	8301	80243
75	8371	79752
76	8418	79047
77	8473	78438
78	8525	77807
79	8573	77159
80	8628	76594
81	8687	76069
82	8742	75519
83	8944	76243
84	9140	76887
85	9252	76820
86	9350	76631
87	9448	76450
88	9541	76221
89	9668	76274
90	9766	76095
91	9829	75645
92	9898	75250
93	9973	74910
94	10029	74432
95	10100	74069
96	10176	73752
97	10228	73272
98	10288	72847
99	10351	72458
100	10422	72130
101	10476	71692
102	10553	71412
103	10610	71010
104	10657	70545
105	10727	70236
106	10775	69789
107	10824	69355
108	10889	69032
109	10955	68722
110	11016	68382
111	11091	68133
112	11162	67863
113	11255	67729
114	11313	67391
115	11388	67153
116	11440	66783
117	11493	66430
118	11557	66139
119	11613	65808
120	11673	65508
121	11724	65155
122	11778	64830
123	11825	64468
124	11881	64160
125	11946	63903
126	12015	63672
127	12094	63495
128	12148	63193
129	12253	63151
130	12302	62827
131	12351	62504
132	12410	62236
133	12460	61931
134	12517	61658
135	12566	61354
136	12634	61145
137	12695	60901
138	12766	60708
139	12818	60429
140	12876	60182
141	12936	59945
142	12989	59679
143	13052	59460
144	13110	59221
145	13158	58941
146	13209	58678
147	13262	58427
148	13322	58209
149	13383	57994
150	13436	57752
151	13487	57498
152	13552	57311
153	13602	57059
154	13678	56920
155	13741	56726
156	13795	56499
157	13865	56338
158	13915	56100
159	13978	55912
160	14029	55684
161	14088	55482
162	14146	55285
163	14214	55124
